element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,myscore,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Ni,PSL-US-v1-low,10.0,45.0,50,183.7117,0.418,0.5027,0.6593,0.3548,0.4328,0.6811,0.4351,0.3601,0.8266,0.4217,0.426,0.1582
Ni,SG15,18.0,55.0,60,804.2798,0.4184,0.5815,0.4145,0.5339,0.5222,0.5557,0.0631,0.4347,0.9618,0.0534,0.5365,0.28
Sr,PSL-US-v1-high,10.0,35.0,55,126.0144,0.4214,0.2214,0.0849,0.0188,0.0142,0.0174,0.1089,0.1181,0.2135,0.1543,0.1218,1.4262
Sn,PSL-US-v1-high,14.0,70.0,70,698.5882,0.4241,0.7569,0.2062,0.2273,0.2226,0.0809,0.2245,0.7768,0.9402,0.2895,0.7005,0.5241
Np,MARBURG,15.0,40.0,60,346.4102,0.4242,0.3875,0.8906,0.543,0.4434,0.9155,0.3184,0.2425,0.3132,0.34,0.247,0.1494
Br,JTH-1.1-std,7.0,70.0,120,174.6471,0.4285,0.6041,0.1986,0.1813,0.157,0.1626,0.0561,0.2883,1.4307,0.0646,0.1807,0.0832
V,PSL-US-v1-high,13.0,65.0,70,538.9827,0.4289,0.742,0.5875,0.566,0.5355,0.7111,0.5038,0.4029,0.5563,0.5585,0.4437,0.274
Cr,SG15,14.0,40.0,45,301.7617,0.4308,0.4353,0.0636,0.4338,0.415,0.6645,0.3703,0.6689,0.8802,0.0379,0.6163,0.3334
In,GBRV-1.X,13.0,75.0,100,668.0312,0.4337,0.7624,0.1064,0.0271,0.0562,0.1683,0.3253,0.5899,1.1932,0.2383,0.5641,0.4949
Pd,SPMS,18.0,40.0,45,498.8306,0.4346,0.4661,0.3894,0.278,0.288,0.4135,0.3783,0.5545,1.1275,0.2951,0.5604,0.3233
O,GBRV-1.X,6.0,35.0,35,45.3652,0.4365,0.4773,0.5433,0.4456,0.4397,0.5013,0.5426,0.4836,0.8093,0.4836,0.5216,0.4767
Pb,PSL-PAW-v0.x,14.0,35.0,40,246.9882,0.4388,0.327,0.1166,0.0744,0.0947,0.197,0.0993,0.6967,1.2439,0.1279,0.4549,0.4527
Kr,SPMS,8.0,50.0,50,137.7061,0.4439,0.4849,0.6998,0.9209,0.8416,0.6268,0.0634,0.0686,0.182,0.4201,0.0678,0.0767
Cd,GBRV-1.X,12.0,90.0,100,748.2459,0.4455,1.0298,0.3403,0.4563,0.4092,0.3011,0.6909,0.5767,0.9149,0.3762,0.6123,0.3911
Mn,SG15,15.0,50.0,55,484.1229,0.4562,0.6272,0.555,0.6506,0.6725,0.5601,0.3564,0.5436,0.792,0.318,0.5446,0.3117
Sb,DOJO-041-std,15.0,75.0,75,889.3906,0.4611,0.7427,0.0354,0.1043,0.0969,0.0129,0.1523,0.5416,1.3758,0.2087,0.4208,0.531
Co,SG15,17.0,55.0,55,717.3977,0.4622,0.6403,0.2778,0.4452,0.4829,0.4009,0.4415,0.4741,1.0551,0.067,0.8342,0.3022
Li,SPMS,3.0,50.0,50,19.3649,0.4687,0.5768,0.2149,0.196,0.2026,0.1792,0.5804,0.4287,1.0836,0.8547,0.6306,0.003
Rb,DOJO-041-std,9.0,40.0,40,124.7077,0.4698,0.2677,0.026,0.0168,0.0183,0.0343,0.1141,0.0915,1.5856,0.1097,0.0884,0.0412
Sn,DOJO-041-std,14.0,65.0,65,625.0924,0.4798,0.7002,0.1268,0.1005,0.0888,0.0996,0.1893,0.8981,1.0729,0.2001,0.787,0.5776
Lu,DOJO-041-std,25.0,200.0,200,10758.2871,0.4809,2.0066,0.9134,0.2436,0.3079,0.7178,0.0569,0.2781,1.1503,0.3521,0.1442,0.1701
Sc,SPMS,11.0,35.0,35,152.4774,0.4828,0.1674,0.2956,0.0589,0.0395,1.5496,0.0141,0.2575,0.2616,0.4463,0.2277,0.1683
Lu,PSL-US-v1-high,35.0,150.0,150,13695.9164,0.4892,1.4964,0.554,0.8521,0.2449,1.0098,0.138,0.186,0.3952,0.9209,0.1438,0.1323
Ar,SPMS,8.0,65.0,150,204.1118,0.4906,0.6943,0.7496,0.9931,0.8613,0.6443,0.1491,0.078,0.3484,0.5976,0.0617,0.061
V,PSL-PAW-v1-low,13.0,65.0,70,538.9827,0.4959,0.7965,0.6415,0.6025,0.5734,0.8528,0.579,0.455,0.6338,0.6295,0.5001,0.3037
Ar,DOJO-041-std,8.0,60.0,65,181.0193,0.4998,0.6324,0.7765,1.0131,0.8802,0.6576,0.1953,0.0535,0.0396,0.627,0.0577,0.0984
Au,JTH-1.1-std,11.0,30.0,30,121.0,0.5026,0.2438,0.195,0.0695,0.0424,0.3507,0.0806,0.3596,1.628,0.0931,0.2986,0.2133
Na,SG15,9.0,80.0,80,352.7265,0.5042,0.9062,0.1386,0.1274,0.1513,0.2329,0.5318,0.6723,1.1903,0.6737,0.7684,0.3023
Fe,PSL-PAW-v0.x,16.0,75.0,80,1011.9289,0.506,0.895,0.5438,0.4351,0.4172,0.7895,0.5541,0.5561,1.0001,0.4887,0.6092,0.301
Pb,DOJO-041-std,14.0,45.0,50,360.075,0.508,0.4715,0.1164,0.1064,0.1258,0.1161,0.102,0.8081,1.4218,0.0937,0.5208,0.4923
Bi,PSL-PAW-v1-high,15.0,65.0,70,717.5806,0.5107,0.6844,0.0103,0.0839,0.0803,0.0275,0.2422,0.6304,1.5115,0.2722,0.4566,0.4966
V,JTH-1.1-std,13.0,30.0,30,169.0,0.5235,0.4552,0.5055,0.4739,0.4455,0.9673,0.7871,0.5752,0.487,0.6872,0.6257,0.4094
V,PSL-US-v1-low,13.0,65.0,70,538.9827,0.5251,0.8252,0.6938,0.6601,0.6203,0.8796,0.5978,0.4706,0.6371,0.6619,0.52,0.315
Fe,PSL-US-v0.x,16.0,75.0,80,1011.9289,0.5265,0.9165,0.6091,0.4241,0.4458,0.8215,0.5749,0.5656,0.9985,0.5398,0.6285,0.3125
Bi,PSL-US-v1-high,15.0,65.0,70,717.5806,0.5267,0.6988,0.0367,0.1092,0.1055,0.0146,0.2539,0.6472,1.5517,0.2876,0.4752,0.5093
Bi,PSL-PAW-v0.x,15.0,150.0,150,2515.5765,0.5344,1.5435,0.0689,0.0286,0.0269,0.0975,0.2316,0.6504,1.5877,0.2498,0.4557,0.5159
Sb,PSL-PAW-v1-low,5.0,30.0,30,25.0,0.5394,0.4832,0.4945,0.5469,0.5864,0.3654,0.5635,0.403,1.3632,0.4419,0.5162,0.3329
Li,JTH-1.1-std,3.0,50.0,55,19.3649,0.5403,0.6041,0.0683,0.0616,0.0522,0.0658,0.6999,0.5247,1.2193,0.9216,0.7716,0.0925
Te,DOJO-041-str,24.0,90.0,120,2992.9838,0.544,1.0182,0.2936,0.3824,0.375,0.4295,0.2513,0.4374,1.5646,0.4726,0.4144,0.4727
Bi,DOJO-041-std,15.0,55.0,60,558.5276,0.5451,0.5857,0.0888,0.0259,0.0302,0.0947,0.2014,0.6452,1.6393,0.1752,0.4773,0.4826
Fe,SG15,16.0,65.0,65,816.4472,0.5474,0.8621,0.7294,0.7306,0.7719,0.7525,0.6132,0.5564,0.8059,0.4141,0.5459,0.3419
Hf,GBRV-1.X,12.0,35.0,40,181.4607,0.5492,0.5546,0.4032,0.3951,0.2746,0.4363,0.8725,0.9604,0.6495,0.2541,0.8677,0.7647
Hf,GBRV-1.X,12.0,35.0,40,181.4607,0.5492,0.5546,0.4032,0.3951,0.2746,0.4363,0.8725,0.9604,0.6495,0.2541,0.8677,0.7647
Kr,JTH-1.1-std,8.0,45.0,45,117.5755,0.5513,0.6425,0.6672,0.6355,0.5823,0.7676,0.7222,0.4773,0.1451,1.0036,0.5394,0.5602
Os,JTH-1.1-std,8.0,30.0,30,64.0,0.5529,0.3395,0.1225,0.0597,0.0696,0.5574,0.3589,0.565,1.5683,0.0822,0.6851,0.3557
Br,PSL-US-v1-low,7.0,30.0,65,49.0,0.5617,0.2862,0.013,0.0272,0.0579,0.0454,0.1025,0.4976,1.7983,0.1356,0.4045,0.2375
Sb,PSL-US-v1-low,5.0,30.0,30,25.0,0.562,0.501,0.4928,0.551,0.5925,0.3756,0.5811,0.4182,1.4305,0.451,0.5385,0.3536
Hg,PSL-PAW-v1-high,20.0,150.0,150,4472.136,0.563,1.6946,0.7109,0.6618,0.7286,0.8991,0.3736,0.5271,1.0091,0.4506,0.4788,0.411
Br,PSL-PAW-v1-low,7.0,30.0,60,49.0,0.5669,0.2908,0.0157,0.0361,0.0704,0.0584,0.1088,0.5023,1.814,0.1479,0.4018,0.2421
Bi,SPMS,15.0,30.0,30,225.0,0.5677,0.3844,0.0343,0.0551,0.0493,0.0344,0.2815,0.7308,1.6204,0.2806,0.5711,0.5749
Pt,JTH-1.1-std,10.0,30.0,30,100.0,0.5707,0.2366,0.1418,0.0447,0.0594,0.2862,0.0658,0.2059,1.8845,0.0274,0.2509,0.1462
As,SG15,5.0,30.0,30,25.0,0.5737,0.3396,0.3684,0.1532,0.1284,0.3726,0.0558,0.698,1.7215,0.091,0.4775,0.2094
Am,MARBURG,17.0,40.0,60,444.9446,0.5778,0.4572,1.1758,0.6248,0.5178,1.3023,0.3032,0.2944,0.3874,0.4026,0.2777,0.1312
Po,PSL-US-v1-high,16.0,70.0,150,912.4417,0.5809,0.7656,0.0221,0.1417,0.1834,0.048,0.21,0.4937,1.79,0.2871,0.4847,0.4999
Ga,PSL-PAW-v0.x,13.0,45.0,70,310.4728,0.5914,0.6844,0.4348,0.4138,0.4201,0.4685,0.5319,0.9461,1.09,0.2569,1.0714,0.5449
He,SG15,2.0,45.0,45,7.3485,0.5989,0.6089,0.2979,0.2803,0.2824,0.0915,0.6759,0.5369,1.5726,0.323,0.9611,0.0684
Po,PSL-PAW-v1-high,16.0,70.0,150,912.4417,0.6033,0.7937,0.0183,0.1469,0.1913,0.0491,0.2421,0.5552,1.8254,0.3106,0.5268,0.5454
Hg,JTH-1.1-std,12.0,35.0,45,181.4607,0.6061,0.5374,0.6093,0.3706,0.268,0.2342,0.338,0.7398,1.6684,0.3131,0.5897,0.3899
Ni,JTH-1.1-std,18.0,75.0,75,1280.7225,0.6142,0.9756,0.8449,0.8957,0.9039,1.0047,0.4698,0.4217,0.7953,0.5494,0.5221,0.2274
La,GBRV-1.X,11.0,200.0,200,2082.8044,0.6164,2.0886,1.2756,0.394,0.6793,1.068,0.0629,0.1027,0.9784,0.6342,0.1332,0.0709
Hg,SPMS,20.0,45.0,50,734.8469,0.6258,0.5108,0.7202,0.9014,1.1217,1.4143,0.2459,0.1947,0.2564,0.3126,0.1943,0.1996
Pb,PSL-US-v0.x,14.0,40.0,40,301.7617,0.6309,0.4916,0.0525,0.0441,0.0688,0.0908,0.1007,0.9928,1.7608,0.151,0.5768,0.5421
Pd,GBRV-1.X,16.0,35.0,35,322.5969,0.6315,0.581,0.426,0.37,0.3882,0.58,0.5427,0.723,1.6141,0.4416,0.7048,0.4682
K,JTH-1.1-std,9.0,30.0,30,81.0,0.6453,0.4997,0.0383,0.0442,0.0435,0.0118,0.6571,0.7901,1.6482,0.5824,0.7588,0.6604
Rb,SPMS,9.0,30.0,30,81.0,0.6569,0.2508,0.0547,0.0618,0.0602,0.0624,0.1579,0.1576,2.175,0.1181,0.1484,0.0962
Ce,Wentzcovitch,12.0,35.0,35,181.4607,0.6592,0.6137,1.1867,1.1056,0.9173,0.7004,0.2614,0.3634,0.9785,0.4678,0.3588,0.3338
Hg,PSL-US-v1-low,12.0,50.0,50,309.8387,0.6667,0.7077,0.5103,0.2719,0.1793,0.1331,0.3974,0.7897,1.8872,0.3429,0.6591,0.4314
W,PSL-PAW-v1-low,14.0,35.0,35,246.9882,0.6785,0.718,0.525,0.5476,0.5117,0.5756,0.9708,0.8958,1.0842,0.7008,0.9288,0.747
La,Wentzcovitch,11.0,200.0,200,2082.8044,0.6809,2.2167,0.7749,0.3045,0.4734,0.8668,0.3435,0.4768,1.7643,0.5952,0.4551,0.3628
Rh,PSL-PAW-v0.x,17.0,45.0,45,530.9269,0.6854,0.7658,0.6917,0.5721,0.5851,0.8497,0.6215,0.6724,1.4829,0.5417,0.7827,0.4919
Sb,PSL-US-v1-high,15.0,70.0,100,801.9507,0.6882,0.9649,0.2934,0.4028,0.398,0.2293,0.3241,0.7789,1.8453,0.492,0.6532,0.7966
Te,SPMS,16.0,45.0,45,470.302,0.6889,0.5607,0.0338,0.1472,0.2311,0.0598,0.1751,0.5192,2.15,0.3062,0.4295,0.5379
Rh,PSL-US-v0.x,17.0,45.0,45,530.9269,0.6985,0.7797,0.7113,0.5943,0.6083,0.8693,0.631,0.6823,1.4947,0.5544,0.7925,0.4982
Zn,SPMS,20.0,55.0,55,992.938,0.7064,0.776,0.7463,1.6538,0.556,0.9707,0.4901,0.3805,1.016,0.1354,0.4194,0.2366
Cd,PSL-US-v1-low,12.0,55.0,55,357.4577,0.7123,0.7562,0.1001,0.1347,0.0936,0.2226,0.6042,0.8271,1.9744,0.3717,0.8005,0.543
Cr,JTH-1.1-std,14.0,40.0,40,301.7617,0.7142,0.5526,0.9573,0.7204,0.8385,1.7693,0.4838,0.4917,0.2666,0.2396,0.5062,0.469
Hg,PSL-PAW-v1-low,12.0,50.0,55,309.8387,0.7146,0.7608,0.6303,0.3771,0.2681,0.2566,0.3778,0.8305,1.9899,0.3533,0.672,0.4485
Po,DOJO-041-std,16.0,55.0,60,635.4803,0.7163,0.6912,0.0633,0.0742,0.1215,0.0193,0.2364,0.6624,2.1596,0.2646,0.5978,0.628
Na,GBRV-1.X,9.0,35.0,150,102.0717,0.7204,0.6548,0.1295,0.1231,0.1398,0.187,0.8884,1.0584,1.4491,0.836,1.109,0.6099
Cd,PSL-PAW-v1-low,12.0,55.0,80,357.4577,0.7293,0.7817,0.0894,0.1482,0.1122,0.1991,0.6901,0.848,1.9826,0.3925,0.8382,0.5734
I,SPMS,7.0,30.0,30,49.0,0.7422,0.3891,0.0563,0.0217,0.0637,0.015,0.0136,0.4446,2.3597,0.3026,0.4273,0.4678
Zn,SG15,20.0,60.0,60,1131.3708,0.7465,0.7281,0.5026,1.5475,1.0393,1.5144,0.3994,0.1629,0.6776,0.1197,0.1511,0.1525
Sm,PSL-US-v1-high,26.0,150.0,150,7557.9098,0.7569,1.5498,0.4606,0.4285,2.4406,0.0716,0.0488,0.1036,0.0171,0.2148,0.0893,0.0514
Zr,PSL-PAW-v0.x,12.0,30.0,45,144.0,0.7988,0.7212,0.5343,0.4175,0.4292,1.0689,1.1,1.1288,1.1561,0.7394,1.0874,0.798
Zr,PSL-US-v0.x,12.0,30.0,45,144.0,0.8117,0.7348,0.5543,0.4353,0.4456,1.0919,1.1124,1.1391,1.1672,0.7558,1.0971,0.8062
Cu,JTH-1.1-std,19.0,45.0,120,663.1993,0.8157,0.8225,0.982,1.0889,1.1091,1.1243,0.4747,0.5949,1.4822,0.2695,0.8099,0.1412
Sn,JTH-1.1-str,4.0,30.0,30,16.0,0.8187,0.5201,0.1437,0.2042,0.2538,0.1786,0.8993,0.787,2.427,0.3235,0.384,0.1585
Rb,SG15,9.0,30.0,30,81.0,0.8222,0.3279,0.056,0.0603,0.059,0.0594,0.1963,0.173,2.6946,0.183,0.1675,0.1363
Ta,PSL-PAW-v0.x,13.0,30.0,35,169.0,0.831,0.7957,0.4755,0.4577,0.5007,0.5554,1.2806,1.1841,1.2744,0.7637,1.1815,0.9431
Ne,SPMS,8.0,65.0,90,204.1118,0.8315,0.9873,1.3053,1.6178,1.4017,0.8778,0.4137,0.1966,0.5907,0.8067,0.2034,0.032
Ta,PSL-US-v0.x,13.0,30.0,35,169.0,0.8333,0.7987,0.4786,0.4637,0.5067,0.5565,1.2813,1.1857,1.2806,0.7656,1.1828,0.9431
Cu,PSL-US-v1-low,11.0,50.0,50,260.3505,0.8366,0.8414,2.3243,0.5144,0.5868,0.6712,0.6442,0.3525,0.76,0.6773,0.4272,0.386
Na,JTH-1.1-std,9.0,65.0,100,258.329,0.8608,1.0886,0.1895,0.2062,0.2034,0.1703,1.0657,1.1298,1.7493,1.1663,1.2219,0.615
Te,SG15,16.0,45.0,55,470.302,0.8608,0.755,0.158,0.3067,0.4086,0.2228,0.3118,0.7523,2.5349,0.4952,0.6428,0.735
I,SG15,17.0,55.0,60,717.3977,0.87,0.8286,0.0708,0.1594,0.2375,0.1373,0.2118,0.8382,2.5412,0.5175,0.6904,0.8112
Ta,PSL-US-v1-low,13.0,40.0,45,260.1925,0.8712,0.9409,0.5255,0.5111,0.5527,0.5932,1.3311,1.2238,1.3192,0.8093,1.2258,0.9696
Ta,PSL-PAW-v1-low,13.0,40.0,45,260.1925,0.8783,0.9484,0.5316,0.5172,0.5594,0.5979,1.3368,1.2309,1.3323,0.8165,1.2329,0.9779
At,PSL-US-v1-high,17.0,150.0,150,3231.1182,0.8785,1.8151,0.0771,0.2102,0.2846,0.1327,0.2498,0.8335,2.5004,0.5472,0.7916,0.9187
Ne,DOJO-041-std,8.0,100.0,100,389.4916,0.8842,1.3453,1.4087,1.7235,1.4736,0.9481,0.51,0.1101,0.4058,0.8756,0.1003,0.0265
Fe,JTH-1.1-std,16.0,40.0,45,394.1378,0.912,0.9561,0.9982,1.0061,1.0341,1.2244,0.9359,0.9911,1.342,0.7771,1.0659,0.4547
Ag,PSL-US-v1-low,11.0,60.0,60,342.2397,0.9292,1.054,0.6698,0.4508,0.47,0.9043,0.6323,1.0836,2.3297,0.4526,0.999,0.5982
Pd,PSL-US-v0.x,10.0,40.0,45,153.9601,0.9341,0.8512,0.6967,0.5976,0.6131,0.9256,0.5552,0.8355,2.4433,0.5385,0.8444,0.5368
Pd,PSL-US-v1-low,10.0,40.0,45,153.9601,0.9408,0.8988,0.802,0.7065,0.7147,0.9184,0.6299,0.8725,2.3352,0.5992,0.8947,0.5341
Pd,PSL-PAW-v1-low,10.0,40.0,45,153.9601,0.9457,0.8795,0.7416,0.6505,0.6573,0.8722,0.5854,0.8638,2.4475,0.5614,0.8619,0.5462
Br,PSL-US-v0.x,7.0,200.0,200,843.4497,0.9478,2.3503,0.2619,0.3015,0.3529,0.3133,0.3383,0.9134,2.7978,0.4297,0.8061,0.5507
Ag,PSL-PAW-v1-low,11.0,60.0,60,342.2397,0.9503,1.0601,0.6465,0.4345,0.4524,0.8758,0.6234,1.1109,2.4223,0.4201,1.0129,0.6181
Zn,DOJO-041-str,20.0,200.0,200,6885.3037,0.9515,2.1953,0.4469,2.1844,1.2444,1.8199,0.503,0.0799,0.4924,0.1454,0.0298,0.141
Zn,DOJO-041-std,20.0,75.0,75,1581.1388,0.9515,0.9453,0.4469,2.1844,1.2444,1.8199,0.503,0.0799,0.4924,0.1454,0.0298,0.141
Br,PSL-PAW-v0.x,7.0,200.0,200,843.4497,0.9583,2.359,0.2701,0.3107,0.3648,0.3265,0.3442,0.9128,2.829,0.4398,0.807,0.5527
Ne,DOJO-041-str,8.0,200.0,200,1101.6486,0.9672,2.3986,1.4301,2.0333,1.5446,0.9787,0.5389,0.1013,0.3988,0.9406,0.0879,0.0271
Mg,JTH-1.1-std,10.0,50.0,50,215.1657,0.9715,0.943,0.1915,0.334,0.3225,0.2254,1.4489,0.9654,2.3536,0.362,1.3526,0.2565
As,GBRV-1.X,5.0,30.0,120,25.0,0.9718,0.5582,0.3678,0.3461,0.335,0.3784,0.1617,0.6368,3.0487,0.3205,0.4385,0.2686
Au,SG15,19.0,40.0,40,555.7959,0.9778,0.949,1.3505,1.4541,1.4273,1.4587,0.8288,0.5628,0.5646,1.1398,0.6142,0.5985
Pd,PSL-PAW-v0.x,10.0,40.0,45,153.9601,0.9832,0.8978,0.7339,0.6509,0.6647,0.955,0.5747,0.8882,2.554,0.5658,0.8787,0.5692
La,SPMS,11.0,35.0,35,152.4774,0.9937,0.6883,0.3255,0.2579,0.3448,0.4037,0.4325,0.7052,3.0354,0.3594,0.6226,0.561
Te,PSL-PAW-v1-low,6.0,30.0,30,36.0,0.9969,0.4314,0.1329,0.0461,0.0796,0.034,0.0331,0.33,3.2283,0.172,0.257,0.3621
Kr,SG15,8.0,30.0,50,64.0,1.0003,0.7137,0.5376,0.7321,0.6607,0.492,0.3291,0.8372,2.9096,0.2306,0.6977,0.3885
Te,DOJO-041-std,16.0,65.0,90,816.4472,1.0258,1.0061,0.1348,0.2795,0.3829,0.1849,0.2869,0.7503,3.1173,0.4723,0.6487,0.7321
Hf,JTH-1.1-std,12.0,30.0,30,144.0,1.0384,0.871,0.1527,0.0494,0.136,0.3558,1.4869,1.6729,1.6694,0.7411,1.63,1.1497
At,PSL-PAW-v1-high,17.0,150.0,150,3231.1182,1.0406,1.9543,0.1337,0.2686,0.3576,0.195,0.3364,1.0117,2.9056,0.6595,0.9555,1.0595
La,JTH-1.1-std,11.0,30.0,30,121.0,1.0436,0.7401,0.764,0.2545,0.3934,1.1668,0.5248,0.7298,2.858,0.7523,0.6927,0.5918
Mn,JTH-1.1-std,15.0,200.0,200,3872.9833,1.0439,2.7135,1.1929,1.2297,1.1882,1.2371,1.1164,1.0672,1.3875,1.0765,1.1526,0.6106
Cl,SG15,7.0,45.0,45,90.0187,1.055,1.0333,0.771,0.7265,0.7416,0.7413,0.6172,1.1339,2.7159,0.5793,1.0317,0.5331
Te,PSL-US-v1-low,6.0,30.0,30,36.0,1.095,0.4572,0.074,0.0489,0.1252,0.052,0.0511,0.2964,3.546,0.1885,0.2371,0.3218
Rn,PSL-PAW-v1-high,18.0,150.0,150,3622.4301,1.1066,1.9868,0.0491,0.0485,0.0297,0.0542,0.452,1.3661,2.7839,0.3491,1.203,1.527
Rn,PSL-US-v1-high,18.0,150.0,150,3622.4301,1.1162,2.0551,0.2091,0.3309,0.4125,0.2667,0.4381,1.3586,2.7879,0.3145,1.196,1.5484
Cu,PSL-PAW-v0.x,11.0,80.0,150,526.9125,1.1169,1.5667,1.1525,1.1907,1.1926,1.3577,1.2097,1.1068,1.7317,1.0683,1.2396,0.6087
Ag,PSL-US-v0.x,11.0,45.0,45,222.2912,1.1221,1.101,0.8285,0.6237,0.6456,1.0952,0.8192,1.2982,2.6719,0.596,1.2206,0.7549
Ir,PSL-US-v0.x,9.0,30.0,30,81.0,1.1262,0.9844,1.0026,0.8819,0.9034,0.8648,0.7038,0.9214,2.7748,0.7457,1.1303,0.6956
