element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,myscore,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Ir,PSL-PAW-v0.x,9.0,30.0,30,81.0,1.1273,0.987,1.0073,0.8873,0.9067,0.8721,0.7142,0.9217,2.769,0.7504,1.1323,0.6944
Ag,PSL-PAW-v0.x,11.0,45.0,45,222.2912,1.1347,1.118,0.8557,0.6516,0.6719,1.1317,0.8357,1.3007,2.6779,0.6341,1.2196,0.7651
I,DOJO-041-std,7.0,60.0,60,138.5929,1.1402,0.9478,0.0359,0.1176,0.1938,0.1095,0.1163,0.7457,3.5118,0.5038,0.6968,0.7442
Xe,DOJO-041-std,8.0,65.0,120,204.1118,1.1498,1.1815,0.4419,0.5663,0.5529,0.477,0.2386,1.1878,3.1829,0.0893,1.0279,1.0849
As,JTH-1.1-str,5.0,70.0,100,89.1056,1.1921,0.9614,0.0667,0.1003,0.101,0.1514,0.0537,0.7572,3.7867,0.2439,0.4357,0.3275
I,PSL-PAW-v1-low,7.0,30.0,30,49.0,1.1935,0.654,0.0159,0.0802,0.1671,0.0737,0.128,0.7676,3.7005,0.4236,0.6456,0.7535
I,PSL-US-v1-low,7.0,30.0,30,49.0,1.203,0.6586,0.0215,0.0867,0.1724,0.0798,0.1279,0.7735,3.7309,0.424,0.6479,0.7508
I,PSL-US-v1-high,17.0,65.0,90,921.6924,1.2074,1.1652,0.1796,0.2995,0.3865,0.2304,0.3235,1.0106,3.5523,0.6566,0.8873,0.9407
I,PSL-PAW-v1-high,17.0,60.0,120,817.4154,1.2099,1.1197,0.1885,0.3,0.3918,0.2432,0.326,1.0135,3.5551,0.6649,0.8933,0.9446
Bi,PSL-US-v0.x,15.0,45.0,45,413.3514,1.2191,1.1218,0.382,0.4765,0.4632,0.3393,0.6691,1.4204,3.2465,0.7734,1.0797,1.1351
Rn,DOJO-041-std,18.0,70.0,80,1154.8091,1.2198,1.4471,0.9648,1.4192,1.5131,1.0185,0.2754,1.1709,2.5674,0.0446,0.9951,1.3182
Hg,PSL-US-v0.x,12.0,120.0,150,1152.0,1.2247,1.7014,1.3477,1.7713,2.1728,2.4452,0.5134,0.4327,0.3607,0.5896,0.4916,0.4333
Hg,PSL-PAW-v0.x,12.0,120.0,150,1152.0,1.258,1.7792,1.4352,1.8374,2.2543,2.3681,0.6014,0.5171,0.4202,0.6609,0.5913,0.4948
I,DOJO-041-str,17.0,70.0,70,1030.0612,1.2663,1.2218,0.1287,0.2383,0.3241,0.1952,0.3037,1.0474,3.7526,0.6353,0.9015,0.9642
Ga,PSL-US-v1-high,13.0,60.0,60,478.0042,1.2761,1.2445,0.1492,0.3154,0.3564,0.0159,0.7195,1.8769,3.0725,0.177,1.9039,0.8301
Te,PSL-PAW-v1-high,16.0,70.0,70,912.4417,1.2905,1.3144,0.2817,0.4808,0.6109,0.3517,0.4466,0.9786,3.7795,0.7103,0.8916,0.9492
Cu,DOJO-041-str,19.0,200.0,200,6213.9866,1.3285,2.7515,2.1132,2.3126,1.9436,1.2787,0.2596,0.239,0.4293,1.8464,0.9169,0.303
Cu,DOJO-041-std,19.0,80.0,80,1572.0281,1.3439,1.5545,1.9535,2.3156,2.0395,1.3632,0.2022,0.2619,0.4144,1.9635,0.9447,0.295
Te,PSL-US-v1-high,16.0,70.0,100,912.4417,1.3638,1.3497,0.2955,0.4942,0.6263,0.353,0.4469,0.986,4.0251,0.7184,0.8991,0.9558
Se,PSL-US-v1-low,6.0,30.0,30,36.0,1.3831,0.7156,0.1002,0.207,0.2642,0.2246,0.215,0.7607,4.3619,0.3495,0.6145,0.467
Se,PSL-PAW-v1-low,6.0,30.0,30,36.0,1.4131,0.7296,0.1011,0.2121,0.2695,0.2303,0.2228,0.7608,4.4577,0.3548,0.6179,0.47
Cs,PSL-PAW-v1-low,9.0,30.0,40,81.0,1.4554,0.8817,0.1526,0.1237,0.1276,0.1561,0.5071,1.5577,4.3011,0.4263,1.0346,0.6046
Cu,PSL-US-v0.x,11.0,40.0,45,186.2917,1.4874,1.4388,3.0253,0.4247,1.4696,1.4376,1.6022,1.0568,1.6444,1.6541,1.2264,0.8456
Cs,PSL-US-v1-low,9.0,30.0,40,81.0,1.4975,0.9185,0.0684,0.0207,0.0192,0.0712,0.56,1.6654,4.3703,0.4714,1.1334,0.6658
Xe,PSL-PAW-v1-high,18.0,150.0,150,3622.4301,1.5308,2.2064,0.0263,0.0789,0.1,0.0779,0.6034,1.6623,4.2341,0.2675,1.4055,1.4848
Na,SPMS,9.0,45.0,45,148.8065,1.5317,1.6221,1.2048,1.0877,1.097,1.216,1.5289,1.755,2.755,1.8412,1.9758,0.9031
Xe,PSL-US-v1-high,18.0,150.0,150,3622.4301,1.5358,2.2805,0.2007,0.4027,0.4271,0.2341,0.5968,1.6578,4.2347,0.2332,1.3933,1.4784
As,PSL-US-v1-low,5.0,30.0,30,25.0,1.5539,0.8176,0.0864,0.1509,0.1291,0.1522,0.255,1.1345,4.8294,0.3812,0.737,0.5409
As,PSL-US-v0.x,5.0,30.0,30,25.0,1.5548,0.8185,0.0876,0.152,0.1301,0.1545,0.2556,1.1354,4.8318,0.3821,0.7376,0.5418
As,PSL-PAW-v1-low,5.0,35.0,35,31.5036,1.559,0.8659,0.0885,0.151,0.129,0.1596,0.2479,1.1241,4.8503,0.3764,0.7272,0.5371
As,PSL-PAW-v0.x,5.0,30.0,30,25.0,1.5609,0.8169,0.0903,0.1521,0.1299,0.1619,0.2482,1.1243,4.8564,0.377,0.7273,0.5372
Se,PSL-US-v0.x,6.0,30.0,30,36.0,1.5805,0.93,0.2666,0.3991,0.4662,0.3917,0.3336,0.968,4.8835,0.5236,0.8121,0.6174
Se,PSL-PAW-v0.x,6.0,30.0,30,36.0,1.6108,0.9396,0.2633,0.399,0.466,0.3926,0.3322,0.9618,4.9854,0.5228,0.8073,0.6182
Cs,GBRV-1.X,9.0,30.0,30,81.0,1.6537,1.0696,0.0671,0.0529,0.0557,0.0782,0.7303,1.6215,4.7589,0.6038,1.2186,1.2934
Zn,PSL-US-v1-high,20.0,100.0,100,2434.3225,1.6539,1.6781,1.1727,4.8268,0.7902,1.406,1.1947,0.2153,0.7143,0.3042,0.1794,0.3057
Au,PSL-PAW-v0.x,11.0,30.0,35,121.0,1.755,1.4814,1.3505,1.1092,1.035,1.7252,1.0363,1.641,4.2459,1.0508,1.5715,1.1919
Cu,SPMS,19.0,65.0,65,1151.3182,1.7584,1.7499,2.2331,2.5373,2.8318,2.0448,0.1603,0.4359,0.7695,2.7221,1.3787,0.4307
Ge,PSL-PAW-v1-low,4.0,30.0,30,16.0,1.7623,1.1403,0.1661,0.2365,0.4366,0.4225,0.0891,2.6558,4.6538,0.1655,1.7592,0.9897
Au,PSL-US-v0.x,11.0,30.0,35,121.0,1.7624,1.4877,1.3619,1.1158,1.0419,1.7377,1.0365,1.6498,4.2597,1.0508,1.5775,1.1951
Ge,PSL-US-v1-low,4.0,30.0,30,16.0,1.7691,1.1435,0.1477,0.2427,0.4421,0.3797,0.0849,2.6629,4.6774,0.1688,1.765,0.9851
Ar,JTH-1.1-std,8.0,150.0,150,715.5418,1.7882,2.4095,0.2091,0.1721,0.2207,0.1857,1.499,1.9564,4.9115,0.3203,1.8398,0.6565
Cs,SG15,9.0,35.0,40,102.0717,1.8546,1.1816,0.0511,0.0401,0.0436,0.0595,0.6914,1.9199,5.4373,0.5902,1.3097,0.8363
Pt,PSL-PAW-v0.x,10.0,30.0,30,100.0,1.8632,1.5846,1.4667,1.2458,1.2831,1.7474,1.0859,1.5246,4.5369,1.1714,1.6284,1.2182
Pt,PSL-US-v0.x,10.0,30.0,30,100.0,1.8711,1.5923,1.4819,1.2541,1.2932,1.7681,1.0884,1.5329,4.5441,1.1763,1.6355,1.2244
Xe,SPMS,8.0,30.0,30,64.0,1.8861,1.3048,0.3503,0.4828,0.4759,0.3781,0.5624,1.9321,5.2196,0.1486,1.6651,1.8066
Tb,Wentzcovitch,19.0,200.0,200,6213.9866,1.9208,3.0289,2.5111,2.7318,3.0186,3.3543,0.192,0.9374,2.0633,0.2466,0.5873,0.572
Xe,SG15,18.0,70.0,70,1154.8091,2.0792,2.021,0.8651,1.2977,1.3022,0.853,0.7105,2.1004,5.4798,0.1073,1.7372,1.8888
Pr,Wentzcovitch,13.0,30.0,35,169.0,2.1057,1.765,3.7137,3.6397,2.3783,2.3888,0.6876,1.0119,2.1753,1.2836,0.9269,0.9674
Fr,PSL-PAW-v1-high,19.0,150.0,150,4036.1027,2.145,2.7762,0.1703,0.1242,0.1416,0.1592,1.017,2.7148,5.3395,0.8388,2.4706,2.2687
Xe,JTH-1.1-std,8.0,30.0,150,64.0,2.1658,1.2823,0.1992,0.1493,0.165,0.2686,0.2779,1.9282,6.3136,0.0979,1.4929,1.815
Fr,PSL-US-v1-high,19.0,120.0,150,2888.0,2.1979,2.5059,0.0782,0.0104,0.0092,0.0815,1.0574,2.7825,5.4509,0.8891,2.5362,2.3375
Ho,Wentzcovitch,21.0,150.0,150,4930.5299,2.2805,2.9321,4.2384,3.4315,4.234,1.6844,0.332,0.8351,1.838,0.6407,0.4957,0.4437
Hf,PSL-US-v1-low,12.0,45.0,50,264.5449,2.3687,2.3162,0.7969,0.6266,0.7999,1.3533,3.5254,3.4614,3.2804,2.0337,3.3337,2.5378
Hf,PSL-PAW-v1-low,12.0,45.0,50,264.5449,2.4063,2.3666,0.8763,0.7112,0.8812,1.4695,3.5926,3.4761,3.2919,2.1137,3.3541,2.5522
Pr,JTH-1.1-std,13.0,30.0,35,169.0,2.4543,2.1176,4.113,3.8967,2.4463,2.9783,0.9392,1.3751,3.0291,1.5685,1.2673,1.3233
Dy,Wentzcovitch,20.0,120.0,150,3200.0,2.5332,2.7528,4.5211,3.5579,4.2225,3.1535,0.2527,1.043,2.2813,0.4323,0.6602,0.6044
Sb,JTH-1.1-str,5.0,30.0,30,25.0,2.5834,1.5984,0.1109,0.3236,0.2802,0.2416,0.3435,2.0805,7.5647,0.9407,1.4287,2.2128
Pb,JTH-1.1-str,4.0,30.0,30,16.0,2.6132,1.5114,0.1014,0.122,0.1298,0.1565,0.7765,2.9084,7.6501,0.2222,1.4652,1.1275
Pd,JTH-1.1-std,18.0,35.0,35,408.2867,2.6453,2.3788,3.4416,3.9196,4.0418,3.3976,1.9076,1.5948,1.2468,2.8082,1.364,1.5349
In,JTH-1.1-str,3.0,30.0,30,9.0,2.6655,1.6125,0.284,0.3092,0.3755,0.2364,0.8309,2.1097,7.8496,0.6217,2.5069,0.5246
Nd,Wentzcovitch,14.0,150.0,150,2191.3466,2.6736,3.3119,4.3893,5.1654,2.9623,3.2258,0.6694,1.1008,2.3637,1.3434,0.9422,0.9703
Ce,JTH-1.1-std,12.0,30.0,150,144.0,2.7221,2.4385,4.6609,3.1991,3.1352,3.1391,1.3205,1.6511,3.7369,2.148,1.5909,1.4043
Rn,JTH-1.1-std,8.0,30.0,45,64.0,2.773,1.8773,0.6467,0.6412,0.6681,0.7905,0.0842,2.4801,7.7284,0.6818,1.9232,2.9257
Lu,PSL-US-v1-low,11.0,35.0,35,152.4774,2.7896,2.5251,0.4406,0.6609,1.032,0.2047,5.0162,2.5463,1.8971,3.5825,4.5353,3.4652
Lu,PSL-PAW-v1-low,11.0,35.0,35,152.4774,2.8249,2.5208,0.3282,0.5593,0.9157,0.0566,5.1086,2.5816,1.881,3.6877,4.5735,3.5014
Po,DOJO-050-std,16.0,60.0,60,724.0773,2.8398,2.4095,1.6645,1.1549,1.1052,2.7594,1.9991,2.1584,7.5256,1.1645,2.1238,0.9898
Bi,DOJO-050-std,15.0,60.0,60,636.3961,2.9078,2.0004,0.4549,0.3812,0.1509,1.0483,1.8349,3.0016,8.4839,0.2435,0.2564,1.396
Te,JTH-1.1-std,6.0,30.0,30,36.0,2.9363,1.5832,0.2786,0.0714,0.296,0.0684,0.3552,1.5442,9.0593,0.7634,1.2499,1.5027
Te,DOJO-050-std,16.0,65.0,70,816.4472,2.9383,2.3389,1.1432,0.7766,0.7997,2.4672,1.9914,2.3518,8.1777,0.8855,2.0861,0.5877
Gd,Wentzcovitch,18.0,120.0,120,2592.0,2.9522,2.6969,7.4626,1.9151,1.5716,4.5093,0.3125,1.1679,2.4803,0.5701,0.8131,0.7793
Pm,Wentzcovitch,15.0,150.0,150,2515.5765,2.9624,3.4021,4.7525,5.9417,2.9782,3.9429,0.5479,1.1216,2.3865,1.1795,0.8971,0.9136
Pr,PSL-US-v1-high,23.0,200.0,200,9105.8142,2.9858,3.7213,2.6902,7.8844,4.2212,1.2911,0.8558,0.4801,0.2979,1.6284,0.5694,0.4646
Nd,JTH-1.1-std,14.0,120.0,120,1568.0,3.0933,3.4243,5.035,5.544,3.025,3.9886,0.9257,1.5223,3.2339,1.6586,1.3098,1.3643
Ra,PSL-PAW-v1-high,20.0,120.0,120,3200.0,3.15,2.9504,0.6629,0.3148,0.3566,0.0976,1.119,1.9893,9.2609,2.5295,1.7849,1.3355
Ba,DOJO-041-str,10.0,200.0,200,1721.3259,3.1927,3.5894,0.9696,0.3209,0.3272,2.8808,0.9889,1.4685,9.2633,2.1487,1.3805,1.037
Ra,PSL-US-v1-high,20.0,120.0,120,3200.0,3.2026,3.0221,0.7896,0.4208,0.4392,0.1616,1.1443,2.024,9.384,2.6221,1.8114,1.3635
Ba,PSL-PAW-v1-high,10.0,30.0,30,100.0,3.2482,1.9025,0.8589,0.2472,0.2595,2.7167,1.0023,1.5031,9.4964,2.1742,1.4112,1.0694
Ba,PSL-US-v1-high,10.0,30.0,30,100.0,3.2797,1.9448,0.9505,0.3161,0.3351,2.8753,1.0103,1.5206,9.5303,2.2267,1.4281,1.0851
Te,GBRV-1.X,6.0,30.0,30,36.0,3.2978,1.8428,0.4995,0.1847,0.148,0.1341,0.565,1.954,10.077,0.6839,1.6081,1.7651
Yb,Wentzcovitch,24.0,150.0,150,6439.8758,3.3303,3.3535,5.5548,4.1799,4.641,6.1889,0.3924,0.954,1.9947,1.5266,0.6213,0.4167
Ba,DOJO-041-std,10.0,35.0,40,126.0144,3.3636,2.0499,1.0187,0.3452,0.3522,3.0381,1.0509,1.5586,9.7423,2.2578,1.462,1.1118
Tm,Wentzcovitch,23.0,120.0,150,4232.0,3.4849,2.9345,5.1309,4.1538,4.6199,7.4441,0.4965,0.815,1.786,1.3683,0.4835,0.3561
Cs,JTH-1.1-std,9.0,75.0,90,320.1806,3.4893,2.7127,0.0094,0.0009,0.0052,0.0391,1.4774,3.8146,9.8437,1.2497,2.6129,1.9657
Ba,GBRV-1.X,10.0,200.0,200,1721.3259,3.5821,3.7139,0.4571,0.1682,0.1779,2.1916,1.0462,1.7947,10.7674,1.6812,1.5203,1.4118
At,JTH-1.1-std,7.0,30.0,30,49.0,3.7953,2.5068,0.7553,0.6362,0.3928,0.4117,0.6531,3.3517,10.7261,0.575,2.9816,3.3898
Ne,SG15,8.0,100.0,150,389.4916,3.8017,3.5489,0.6654,0.3591,0.4149,1.3138,2.5076,4.3731,9.4412,1.1293,4.9314,2.7179
Pm,JTH-1.1-std,15.0,120.0,120,1800.0,3.8082,3.8584,6.1078,7.1162,3.4758,5.2938,0.9614,1.7465,3.5144,1.7093,1.4329,1.4609
I,JTH-1.1-std,7.0,30.0,30,49.0,3.8539,2.004,0.132,0.0449,0.1896,0.0699,0.3524,1.9407,11.8905,0.8129,1.6199,1.898
Er,Wentzcovitch,22.0,150.0,150,5411.2845,3.8724,3.0714,4.4125,3.7027,4.4195,9.8144,0.3114,0.9641,2.0032,0.8084,0.6185,0.5022
Sm,JTH-1.1-std,16.0,150.0,150,2862.167,3.9969,4.1784,6.9111,7.0248,2.9234,6.0431,0.8818,1.8622,3.6611,1.5077,1.4724,1.4609
Po,JTH-1.1-std,6.0,30.0,30,36.0,4.4882,2.8605,0.1178,0.2803,0.5606,0.4072,1.2795,3.611,13.02,1.4891,3.1891,3.0975
Tb,JTH-1.1-std,19.0,120.0,150,2888.0,4.6254,4.0406,2.6766,4.0232,4.4223,10.5843,1.6049,3.4021,5.977,1.8904,2.7513,2.4171
Sm,Wentzcovitch,16.0,150.0,150,2862.167,4.6425,4.5597,7.4599,9.6599,3.8499,6.165,0.8534,1.6615,3.3864,1.6279,1.3661,1.2727
Gd,JTH-1.1-std,18.0,120.0,150,2592.0,4.6478,4.1008,9.8176,3.6017,3.1021,8.1981,1.008,2.5021,4.619,1.346,1.9201,1.7906
Eu,Wentzcovitch,17.0,150.0,150,3231.1182,4.6928,4.2346,11.1644,2.0219,2.7713,7.7807,1.0834,2.0675,4.0411,1.838,1.7022,1.521
Rb,JTH-1.1-std,9.0,30.0,30,81.0,4.7143,2.4581,0.2817,0.286,0.2866,0.156,1.5737,1.5285,14.6707,1.5922,1.4659,1.3379
Bi,JTH-1.1-str,5.0,40.0,40,38.49,4.7313,3.1405,0.1171,0.145,0.1902,0.1774,1.4384,4.7628,13.4024,1.4525,3.2554,3.5011
Yb,JTH-1.1-std,24.0,120.0,120,4608.0,5.0423,5.5605,4.1217,2.7591,3.4633,5.3996,4.6421,6.2141,8.8997,2.7317,5.7431,4.2701
Dy,JTH-1.1-std,20.0,150.0,150,4472.136,5.1955,4.928,4.4187,4.0547,5.0137,11.4502,2.1017,3.9887,6.5229,2.1899,3.3539,2.8079
Tm,JTH-1.1-std,23.0,150.0,150,5914.3998,5.2622,5.8477,3.7367,3.0017,3.7065,7.6214,4.3516,6.0763,8.7276,3.3095,5.576,4.2436
Ba,JTH-1.1-std,10.0,150.0,150,1118.034,5.3023,4.3463,1.1799,0.3133,0.3896,4.5109,1.7543,2.5376,15.3426,3.3976,2.3603,1.9414
Eu,JTH-1.1-std,17.0,100.0,150,1758.798,5.7066,4.374,13.0948,1.6011,2.2739,9.8894,1.5854,2.9319,5.4516,2.3768,2.4333,2.2168
Er,JTH-1.1-std,22.0,150.0,150,5411.2845,6.2513,5.9578,3.23,2.8744,3.887,12.634,4.3268,6.2209,9.1654,3.9192,5.6733,4.4234
Ho,JTH-1.1-std,21.0,120.0,150,3528.0,7.1856,5.267,2.8865,2.7712,3.7964,17.9734,3.7069,5.6217,8.5354,3.8124,5.0439,4.029
Rn,DOJO-050-std,18.0,90.0,100,1683.5534,7.5217,7.1513,8.6075,9.2133,9.3863,9.7998,4.4592,4.1546,3.2778,12.3817,4.4782,3.903
Cu,PSL-US-v1-high,19.0,90.0,100,1875.811,7.7047,6.7812,15.3826,6.8202,4.9004,3.9032,15.3236,1.1238,4.2483,4.478,2.0866,2.1671
Pb,DOJO-050-std,14.0,90.0,100,1018.4459,9.4132,8.2209,4.9836,3.0223,2.098,6.6323,2.577,17.8941,15.5274,1.0359,11.3751,10.9748
Tl,DOJO-050-std,13.0,100.0,100,1028.5012,10.1229,9.9007,9.355,5.4857,6.5458,9.0264,9.4753,13.2284,7.6957,1.0757,15.869,14.9755
Yb,PSL-US-v1-high,34.0,150.0,150,12924.4729,12.0165,9.7962,31.4306,12.9383,6.1822,10.6992,5.9172,2.7762,3.5038,8.6193,2.9005,3.998
Er,PSL-US-v1-low,11.0,30.0,45,121.0,13.6066,6.5371,7.9491,9.761,14.3188,35.4307,5.3208,3.507,14.2761,1.4981,1.6722,1.4306
Er,PSL-PAW-v1-low,11.0,30.0,45,121.0,13.6238,6.5506,7.9842,9.7889,14.348,35.4664,5.3441,3.5009,14.2762,1.5115,1.6789,1.4224
Tm,PSL-US-v1-low,11.0,30.0,45,121.0,14.3784,7.4761,11.5384,12.1911,17.1002,36.3236,6.9238,1.4465,10.7097,4.3043,3.3007,0.6702
Tm,PSL-PAW-v1-low,11.0,30.0,45,121.0,14.4009,7.4969,11.5818,12.2264,17.1349,36.362,6.9544,1.4377,10.7041,4.3436,3.3108,0.6782
Yb,PSL-US-v1-low,10.0,50.0,55,215.1657,15.6288,9.3586,15.6146,14.2005,19.5949,37.3324,8.7668,1.1267,6.7437,9.1343,5.3551,2.7908
Yb,PSL-US-v1-low,11.0,35.0,45,152.4774,15.6288,9.2086,15.6146,14.2005,19.5949,37.3324,8.7668,1.1267,6.7437,9.1343,5.3551,2.7908
Yb,PSL-PAW-v1-low,10.0,50.0,55,215.1657,15.677,9.401,15.6884,14.2643,19.6655,37.4093,8.822,1.1431,6.7372,9.2036,5.3739,2.8105
Yb,PSL-PAW-v1-low,11.0,35.0,45,152.4774,15.677,9.251,15.6884,14.2643,19.6655,37.4093,8.822,1.1431,6.7372,9.2036,5.3739,2.8105
Ne,PSL-US-v1-high,8.0,50.0,60,137.7061,17.7389,14.4861,22.2584,35.9442,14.3904,15.6382,3.4502,5.8241,8.7922,27.3361,6.103,5.376
Gd,PSL-PAW-v1-low,11.0,40.0,40,186.2917,24.2061,15.3383,48.5781,12.9139,14.9274,43.756,0.942,9.0093,31.2937,10.9979,3.0678,6.3151
Ce,PSL-PAW-v1-low,11.0,40.0,40,186.2917,24.2069,21.2886,43.9676,29.4827,36.6639,23.0993,8.4226,15.1137,21.3666,15.7931,9.6884,11.099
Gd,PSL-US-v1-low,11.0,40.0,40,186.2917,24.2762,15.3773,48.7062,12.9732,14.9786,43.9625,0.9697,9.0226,31.2685,11.0637,3.0812,6.3318
Ce,PSL-US-v1-low,11.0,40.0,40,186.2917,24.3018,21.361,44.1674,29.5461,36.7989,23.2528,8.4644,15.1284,21.4394,15.8848,9.7046,11.115
Eu,PSL-PAW-v1-low,11.0,40.0,40,186.2917,30.9048,21.1427,73.9878,24.8686,29.1702,40.8334,2.3177,9.9747,25.0837,13.4848,4.0473,7.3498
Eu,PSL-US-v1-low,11.0,40.0,40,186.2917,30.9265,21.1773,73.924,24.9436,29.2695,40.9498,2.367,9.9943,25.0981,13.5599,4.0686,7.3709
Sm,PSL-PAW-v1-low,11.0,45.0,45,222.2912,33.0631,24.526,69.7052,39.7554,44.082,40.4973,3.994,11.1526,21.3848,16.0809,5.4657,8.6633
Sm,PSL-US-v1-low,11.0,45.0,45,222.2912,33.1591,24.5971,69.8686,39.9217,44.2292,40.633,4.0319,11.1663,21.3883,16.1565,5.4802,8.6809
Dy,PSL-US-v1-high,30.0,200.0,200,15491.9334,40.1957,21.903,118.5332,5.9742,44.9731,7.1359,1.4178,2.4724,0.5812,3.4469,3.3613,1.9668
