element,name,z_valence,ecut_eff,ecut_prec,eos_score,score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5,ZA
Cl,PSL-PAW-v0.x,7,30,30,0.10689175486931886,0.10689175486931886,0.33,0.31,0.31,0.37,0.15,0.11,0.04,0.22,0.12,0.21,17
Cl,DOJO-041-std,7,45,50,0.008289854505948886,0.15828985450594887,0.1,0.13,0.13,0.11,0.03,0.02,0.01,0.08,0.01,0.14,17
Cl,PSL-PAW-v1-low,7,60,60,0.0,0.3,0.04,0.03,0.04,0.04,0.01,0.01,0.03,0.02,0.02,0.12,17
Cl,PSL-US-v1-low,7,60,60,0.0,0.3,0.05,0.05,0.06,0.06,0.01,0.02,0.07,0.04,0.01,0.13,17
Cl,SG15,7,40,45,0.6639411053395577,0.7639411053395577,0.77,0.73,0.74,0.74,0.62,1.13,2.72,0.58,1.03,0.53,17
Cl,DOJO-041-str,7,,,0.008289854505948886,,0.1,0.13,0.13,0.11,0.03,0.02,0.01,0.08,0.01,0.14,17
Cl,PSL-US-v0.x,7,,,0.12511744401839,,0.33,0.31,0.31,0.37,0.15,0.16,0.18,0.22,0.13,0.22,17
Cl,GBRV-1.X,7,,,0.01308399448970555,,0.11,0.13,0.14,0.11,0.04,0.05,0.13,0.09,0.06,0.16,17
Ar,PSL-PAW-v1-low,8,70,100,0.011368923767677777,0.4113689237676778,0.02,0.05,0.02,0.07,0.03,0.13,0.21,0.17,0.11,0.04,18
Ar,SPMS,8,45,45,0.30558113197321995,0.4555811319732199,0.75,0.99,0.86,0.64,0.15,0.08,0.35,0.6,0.06,0.06,18
Ar,PSL-US-v1-low,8,70,100,0.07835272014117779,0.4783527201411778,0.3,0.3,0.23,0.2,0.06,0.11,0.17,0.29,0.09,0.05,18
Ar,PSL-US-v0.x,8,75,75,0.039167423975703324,0.48916742397570334,0.12,0.13,0.06,0.08,0.09,0.24,0.5,0.16,0.21,0.03,18
Ar,DOJO-041-std,8,60,65,0.29295265446237895,0.5929526544623789,0.78,1.01,0.88,0.66,0.2,0.05,0.04,0.63,0.06,0.1,18
Ar,PSL-PAW-v1-high,8,100,100,0.010663841412717777,0.7106638414127179,0.02,0.04,0.03,0.05,0.03,0.14,0.32,0.15,0.11,0.03,18
Ar,PSL-US-v1-high,8,100,100,0.04867613700105334,0.7486761370010534,0.22,0.22,0.15,0.15,0.05,0.11,0.19,0.24,0.09,0.03,18
Ar,JTH-1.1-std,8,45,65,0.684401830115283,0.834401830115283,0.21,0.17,0.22,0.19,1.5,1.96,4.91,0.32,1.84,0.66,18
Ar,PSL-PAW-v0.x,8,,,0.03550064740163333,,0.01,0.02,0.05,0.02,0.11,0.27,0.61,0.1,0.24,0.04,18
K,SG15,9,30,30,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.04,0.14,0.05,0.04,0.0,19
K,SPMS,9,30,30,0.0,0.0,0.03,0.04,0.04,0.04,0.01,0.02,0.18,0.02,0.03,0.01,19
K,PSL-PAW-v1-high,9,55,55,0.0,0.25,0.01,0.0,0.0,0.02,0.04,0.05,0.03,0.04,0.06,0.09,19
K,PSL-US-v1-high,9,55,55,0.0,0.25,0.04,0.06,0.05,0.02,0.01,0.02,0.01,0.01,0.04,0.08,19
K,JTH-1.1-std,9,30,30,0.32764869997721896,0.32764869997721896,0.04,0.04,0.04,0.01,0.66,0.79,1.65,0.58,0.76,0.66,19
K,GBRV-1.X,9,70,75,0.0,0.4,0.01,0.01,0.0,0.03,0.06,0.08,0.07,0.05,0.09,0.12,19
K,DOJO-041-std,9,,,0.0,,0.01,0.02,0.01,0.0,0.04,0.07,0.06,0.04,0.08,0.11,19
Ca,GBRV-1.X,10,30,30,0.0,0.0,0.03,0.01,0.0,0.02,0.03,0.05,0.02,0.07,0.05,0.12,20
Ca,JTH-1.1-std,10,35,40,0.0,0.05,0.01,0.01,0.01,0.02,0.04,0.04,0.02,0.08,0.04,0.11,20
Ca,SPMS,10,30,30,0.10822650820280219,0.10822650820280219,0.58,0.37,0.32,0.31,0.05,0.03,0.03,0.38,0.03,0.04,20
Ca,PSL-PAW-v1-high,10,50,55,0.0,0.2,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.06,0.0,0.08,20
Ca,PSL-US-v1-high,10,50,55,0.0,0.2,0.1,0.02,0.03,0.03,0.04,0.01,0.04,0.01,0.02,0.06,20
Ca,DOJO-041-std,10,55,60,0.0012100002481577764,0.25121000024815776,0.02,0.06,0.04,0.04,0.04,0.05,0.03,0.11,0.05,0.11,20
Ca,SG15,10,,,0.02104376872647667,,0.21,0.15,0.13,0.13,0.08,0.11,0.15,0.06,0.12,0.02,20
Sc,GBRV-1.X,11,30,30,0.0,0.0,0.04,0.03,0.04,0.02,0.06,0.08,0.08,0.04,0.08,0.08,21
Sc,JTH-1.1-std,11,30,30,0.09165025506207444,0.09165025506207444,0.04,0.02,0.01,0.2,0.29,0.29,0.4,0.19,0.31,0.15,21
Sc,SPMS,11,35,35,0.11744767741072556,0.16744767741072558,0.3,0.06,0.04,1.55,0.01,0.26,0.26,0.45,0.23,0.17,21
Sc,SG15,11,35,35,0.11747544830009667,0.16747544830009667,0.06,0.14,0.12,0.77,0.19,0.35,0.39,0.07,0.35,0.22,21
Sc,PSL-US-v1-high,11,60,70,0.0,0.3,0.03,0.02,0.02,0.28,0.05,0.06,0.09,0.07,0.07,0.06,21
Sc,DOJO-041-std,11,65,70,0.0,0.35000000000000003,0.02,0.06,0.08,0.11,0.04,0.05,0.06,0.02,0.05,0.02,21
Sc,PSL-PAW-v0.x,11,55,60,0.10902943529270555,0.35902943529270553,0.08,0.05,0.05,0.25,0.3,0.29,0.35,0.25,0.32,0.18,21
Sc,PSL-US-v0.x,11,55,60,0.11253168334314778,0.3625316833431478,0.1,0.07,0.08,0.26,0.31,0.28,0.34,0.26,0.32,0.18,21
Sc,PSL-PAW-v1-high,11,,,0.007556427929777777,,0.13,0.12,0.1,0.04,0.11,0.09,0.09,0.14,0.1,0.09,21
Ti,GBRV-1.X,12,30,30,0.0,0.0,0.02,0.02,0.02,0.03,0.03,0.06,0.05,0.03,0.05,0.03,22
Ti,SG15,12,40,45,0.10272817306391777,0.20272817306391777,0.17,0.09,0.11,0.62,0.11,0.32,0.43,0.15,0.26,0.16,22
Ti,DOJO-041-std,12,65,70,0.0026569628991455546,0.3526569628991456,0.02,0.12,0.11,0.06,0.05,0.08,0.13,0.01,0.06,0.04,22
Ti,PSL-PAW-v1-high,12,45,55,0.2952177782939567,0.4452177782939567,0.4,0.38,0.4,0.41,0.45,0.39,0.51,0.45,0.42,0.26,22
Ti,PSL-US-v1-high,12,45,55,0.33925106866097887,0.4892510686609789,0.46,0.47,0.48,0.47,0.49,0.39,0.49,0.5,0.43,0.27,22
Ti,SPMS,12,,,0.04076040939008888,,0.1,0.06,0.07,0.39,0.04,0.19,0.3,0.13,0.15,0.08,22
Ti,JTH-1.1-std,12,,,0.22807043695976661,,0.35,0.36,0.37,0.38,0.44,0.3,0.25,0.4,0.33,0.21,22
V,GBRV-1.X,13,30,35,0.0019720248894777768,0.0019720248894777768,0.11,0.08,0.08,0.14,0.09,0.08,0.06,0.11,0.08,0.06,23
V,DOJO-041-std,13,70,70,0.0009828373783455542,0.40098283737834556,0.04,0.11,0.09,0.1,0.02,0.05,0.12,0.02,0.04,0.01,23
V,PSL-PAW-v1-high,13,65,70,0.36080822764946113,0.7108082276494612,0.53,0.5,0.48,0.68,0.48,0.39,0.55,0.52,0.42,0.26,23
V,PSL-PAW-v1-low,13,65,70,0.4464937509991233,0.7964937509991233,0.64,0.6,0.57,0.85,0.58,0.45,0.63,0.63,0.5,0.3,23
V,PSL-US-v1-low,13,65,70,0.47519042640507336,0.8251904264050733,0.69,0.66,0.62,0.88,0.6,0.47,0.64,0.66,0.52,0.31,23
V,SG15,13,,,0.07430165177157998,,0.03,0.17,0.17,0.2,0.17,0.28,0.46,0.02,0.25,0.12,23
V,SPMS,13,,,0.0394449870453411,,0.02,0.16,0.15,0.24,0.07,0.17,0.3,0.04,0.14,0.06,23
V,JTH-1.1-std,13,,,0.4551758460851168,,0.51,0.47,0.45,0.97,0.79,0.58,0.49,0.69,0.63,0.41,23
V,PSL-US-v1-high,13,,,0.3920312132538722,,0.59,0.57,0.54,0.71,0.5,0.4,0.56,0.56,0.44,0.27,23
Cr,GBRV-1.X,14,30,35,0.0,0.0,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.02,0.02,0.02,24
Cr,PSL-PAW-v1-high,14,45,70,0.18884965330239892,0.3388496533023989,0.35,0.38,0.34,0.3,0.27,0.24,0.4,0.31,0.26,0.16,24
Cr,SG15,14,40,45,0.3113557716148411,0.41135577161484116,0.06,0.43,0.41,0.66,0.37,0.67,0.88,0.04,0.62,0.33,24
Cr,DOJO-041-std,14,75,80,0.037391865366677775,0.4873918653666778,0.23,0.16,0.18,0.35,0.07,0.09,0.13,0.14,0.08,0.02,24
Cr,DOJO-041-str,14,100,100,0.0,0.7000000000000001,0.03,0.03,0.02,0.07,0.05,0.02,0.02,0.01,0.03,0.05,24
Cr,SPMS,14,,,0.29574044188664556,,0.63,0.58,0.62,0.88,0.25,0.31,0.36,0.42,0.29,0.09,24
Cr,JTH-1.1-std,14,,,0.45256653628149773,,0.96,0.72,0.84,1.77,0.48,0.49,0.27,0.24,0.51,0.47,24
Cr,PSL-US-v1-high,14,45,70,,,,,,,,,,,,,24
Mn,GBRV-1.X,15,35,35,0.0,0.05,0.04,0.02,0.01,0.03,0.01,0.01,0.06,0.03,0.0,0.01,25
Mn,SPMS,15,70,70,0.016266967130872216,0.41626696713087225,0.1,0.12,0.15,0.2,0.02,0.11,0.17,0.03,0.1,0.05,25
Mn,DOJO-041-std,15,80,80,0.0,0.5,0.03,0.02,0.02,0.04,0.05,0.01,0.04,0.04,0.01,0.0,25
Mn,SG15,15,50,55,0.40139440699407,0.60139440699407,0.55,0.65,0.67,0.56,0.36,0.54,0.79,0.32,0.54,0.31,25
Mn,DOJO-041-str,15,100,100,0.012339223411237773,0.7123392234112378,0.22,0.07,0.13,0.15,0.06,0.03,0.04,0.13,0.04,0.04,25
Mn,JTH-1.1-std,15,40,40,0.9968058045399554,1.0968058045399554,1.19,1.23,1.19,1.24,1.12,1.07,1.39,1.08,1.15,0.61,25
Mn,PSL-PAW-v1-high,15,,,,,,,,,,,,,,,25
Mn,PSL-US-v1-high,15,,,0.17397268713383113,,0.4,0.33,0.35,0.33,0.22,0.2,0.34,0.32,0.23,0.14,25
Fe,GBRV-1.X,16,35,35,0.0,0.05,0.01,0.04,0.05,0.04,0.02,0.05,0.03,0.01,0.03,0.04,26
Fe,PSL-US-v1-low,8,30,45,0.1128590539158578,0.1128590539158578,0.27,0.16,0.19,0.14,0.21,0.24,0.98,0.25,0.35,0.03,26
Fe,SPMS,16,50,50,0.17335037746633775,0.37335037746633776,0.5,0.08,0.1,0.78,0.1,0.33,0.37,0.54,0.24,0.19,26
Fe,DOJO-041-str,16,100,100,0.011487127709305552,0.7114871277093057,0.09,0.2,0.17,0.11,0.07,0.05,0.01,0.13,0.07,0.04,26
Fe,PSL-US-v1-high,16,80,80,0.30673426846812446,0.8067342684681245,0.55,0.43,0.47,0.56,0.41,0.32,0.49,0.44,0.35,0.2,26
Fe,SG15,16,65,65,0.5062029446772423,0.8562029446772423,0.73,0.73,0.77,0.75,0.61,0.56,0.81,0.41,0.55,0.34,26
Fe,PSL-US-v0.x,16,75,80,0.4468697000834099,0.8968697000834099,0.61,0.42,0.45,0.82,0.57,0.57,1.0,0.54,0.63,0.31,26
Fe,JTH-1.1-std,16,40,40,0.8430556236384454,0.9430556236384454,1.0,1.01,1.03,1.22,0.94,0.99,1.34,0.78,1.07,0.45,26
Fe,DOJO-041-std,16,,,0.0017213181747977775,,0.04,0.12,0.08,0.07,0.08,0.03,0.03,0.12,0.04,0.01,26
Fe,PSL-PAW-v0.x,16,,,0.42161713992673,,0.54,0.44,0.42,0.79,0.55,0.56,1.0,0.49,0.61,0.3,26
Fe,PSL-PAW-v1-high,16,,,,,,,,,,,,,,,26
Fe,PSL-PAW-v1-low,8,30,45,,,,,,,,,,,,,26
Co,GBRV-1.X,17,35,35,0.01734321325115777,0.06734321325115777,0.12,0.15,0.17,0.09,0.07,0.07,0.13,0.08,0.15,0.07,27
Co,PSL-PAW-v1-low,9,30,50,0.10261751580280777,0.10261751580280777,0.36,0.24,0.25,0.28,0.15,0.08,0.55,0.19,0.15,0.04,27
Co,SPMS,17,50,55,0.09241540567941554,0.29241540567941554,0.34,0.15,0.09,0.39,0.32,0.12,0.07,0.63,0.11,0.07,27
Co,JTH-1.1-std,17,40,40,0.3144734258486534,0.41447342584865343,0.47,0.48,0.5,0.7,0.34,0.31,0.68,0.33,0.44,0.16,27
Co,SG15,17,55,55,0.31763994901649106,0.5676399490164911,0.28,0.45,0.48,0.4,0.44,0.47,1.06,0.07,0.83,0.3,27
Co,DOJO-041-str,17,90,90,0.02301388814613555,0.6230138881461356,0.13,0.06,0.1,0.1,0.27,0.01,0.2,0.05,0.18,0.07,27
Co,DOJO-041-std,17,,,0.019974309261341108,,0.09,0.05,0.08,0.07,0.2,0.01,0.2,0.03,0.18,0.06,27
Co,PSL-PAW-v1-high,17,,,,,,,,,,,,,,,27
Co,PSL-US-v1-high,17,,,,,,,,,,,,,,,27
Co,PSL-US-v1-low,9,,,0.09301787917726441,,0.39,0.21,0.25,0.27,0.11,0.08,0.5,0.19,0.12,0.03,27
Ni,GBRV-1.X,18,40,40,0.0,0.1,0.04,0.01,0.02,0.07,0.06,0.08,0.15,0.01,0.08,0.02,28
Ni,SPMS,18,60,60,0.056143043084189985,0.35614304308419,0.14,0.07,0.07,0.1,0.54,0.12,0.1,0.57,0.1,0.08,28
Ni,PSL-PAW-v1-low,10,45,50,0.2873690896025533,0.4373690896025533,0.5,0.38,0.38,0.6,0.41,0.34,0.85,0.37,0.39,0.13,28
Ni,PSL-US-v0.x,10,45,50,0.33656665937885005,0.48656665937885,0.66,0.35,0.43,0.68,0.44,0.36,0.83,0.42,0.43,0.16,28
Ni,PSL-US-v1-low,10,45,50,0.33656665937885005,0.48656665937885,0.66,0.35,0.43,0.68,0.44,0.36,0.83,0.42,0.43,0.16,28
Ni,DOJO-041-std,18,80,90,0.009073998828225552,0.5090739988282256,0.13,0.1,0.12,0.13,0.06,0.02,0.2,0.04,0.04,0.07,28
Ni,SG15,18,55,60,0.2863873116541967,0.5363873116541966,0.41,0.53,0.52,0.56,0.06,0.43,0.96,0.05,0.54,0.28,28
Ni,JTH-1.1-std,18,75,75,0.5255703852616767,0.9755703852616766,0.84,0.9,0.9,1.0,0.47,0.42,0.8,0.55,0.52,0.23,28
Ni,DOJO-041-str,18,90,90,,,,,,,,,,,,,28
Ni,PSL-PAW-v0.x,10,,,0.2873690896025533,,0.5,0.38,0.38,0.6,0.41,0.34,0.85,0.37,0.39,0.13,28
Ni,PSL-PAW-v1-high,18,120,120,,,,,,,,,,,,,28
Ni,PSL-US-v1-high,18,,,,,,,,,,,,,,,28
Cu,PSL-PAW-v1-low,11,50,50,0.01683432181350111,0.21683432181350112,0.1,0.07,0.07,0.18,0.06,0.15,0.42,0.03,0.13,0.02,29
Cu,GBRV-1.X,19,50,80,0.1954120004160878,0.3954120004160878,0.32,0.33,0.33,0.32,0.39,0.25,0.31,0.36,0.3,0.14,29
Cu,SG15,19,75,75,0.15549682859366337,0.6054968285936634,0.4,0.09,0.38,0.59,0.05,0.2,0.51,0.13,0.29,0.18,29
Cu,PSL-PAW-v1-high,19,90,100,0.12070774518120778,0.7207077451812077,0.33,0.31,0.31,0.35,0.18,0.16,0.24,0.18,0.17,0.09,29
Cu,JTH-1.1-std,19,45,45,0.6327251103701723,0.7827251103701723,0.98,1.09,1.11,1.12,0.47,0.59,1.48,0.27,0.81,0.14,29
Cu,PSL-US-v0.x,11,40,45,1.1623732575316434,1.2623732575316435,3.03,0.42,1.47,1.44,1.6,1.06,1.64,1.65,1.23,0.85,29
Cu,PSL-PAW-v0.x,11,55,60,1.0251813401326357,1.2751813401326357,1.15,1.19,1.19,1.36,1.21,1.11,1.73,1.07,1.24,0.61,29
Cu,DOJO-041-std,19,80,80,0.9486573145555744,1.4486573145555743,1.95,2.32,2.04,1.36,0.2,0.26,0.41,1.96,0.94,0.3,29
Cu,DOJO-041-str,19,90,90,0.9366408214161088,1.5366408214161087,2.11,2.31,1.94,1.28,0.26,0.24,0.43,1.85,0.92,0.3,29
Cu,SPMS,19,65,65,1.31248230015537,1.6624823001553701,2.23,2.54,2.83,2.04,0.16,0.44,0.77,2.72,1.38,0.43,29
Cu,PSL-US-v1-high,19,90,100,4.905677317865644,5.5056773178656435,15.38,6.82,4.9,3.9,15.32,1.12,4.25,4.48,2.09,2.17,29
Cu,PSL-US-v1-low,11,,,0.45771603700261554,,2.32,0.51,0.59,0.67,0.64,0.35,0.76,0.68,0.43,0.39,29
Zn,JTH-1.1-std,12,40,45,0.012613300641675556,0.11261330064167556,0.1,0.04,0.05,0.21,0.1,0.04,0.23,0.06,0.11,0.03,30
Zn,GBRV-1.X,20,35,50,0.10449996542480335,0.15449996542480335,0.15,0.11,0.16,0.14,0.36,0.29,0.42,0.16,0.32,0.16,30
Zn,PSL-US-v1-low,12,60,60,0.03487160182149222,0.3348716018214922,0.16,0.26,0.21,0.07,0.13,0.03,0.21,0.06,0.07,0.02,30
Zn,PSL-PAW-v1-low,12,60,60,0.06222970487818555,0.3622297048781855,0.22,0.35,0.32,0.18,0.14,0.02,0.19,0.09,0.04,0.01,30
Zn,SPMS,20,55,55,0.45011350757587554,0.7001135075758755,0.75,1.65,0.56,0.97,0.49,0.38,1.02,0.14,0.42,0.24,30
Zn,SG15,20,60,65,0.42438478167168103,0.7243847816716811,0.5,1.55,1.04,1.51,0.4,0.16,0.68,0.12,0.15,0.15,30
Zn,PSL-PAW-v1-high,20,100,120,0.15871142971148558,0.8587114297114856,0.42,0.39,0.42,0.49,0.17,0.15,0.31,0.2,0.18,0.1,30
Zn,DOJO-041-str,20,75,75,0.4547655036151834,0.9047655036151834,0.45,2.18,1.24,1.82,0.5,0.08,0.49,0.15,0.03,0.14,30
Zn,DOJO-041-std,20,75,75,0.45477006075479093,0.9047700607547909,0.45,2.18,1.24,1.82,0.5,0.08,0.49,0.15,0.03,0.14,30
Zn,PSL-US-v1-high,20,100,100,0.5980496542690588,1.2980496542690587,1.17,4.83,0.79,1.41,1.19,0.22,0.71,0.3,0.18,0.31,30
Ga,JTH-1.1-std,13,30,30,0.014812577949281107,0.014812577949281107,0.07,0.01,0.02,0.07,0.07,0.15,0.26,0.02,0.18,0.03,31
Ga,PSL-PAW-v1-low,13,55,60,0.025202044482786665,0.2752020444827867,0.12,0.19,0.19,0.13,0.02,0.09,0.18,0.08,0.11,0.01,31
Ga,PSL-US-v1-low,13,55,60,0.025686163618996657,0.27568616361899667,0.11,0.18,0.19,0.14,0.02,0.11,0.22,0.08,0.11,0.01,31
Ga,PSL-PAW-v1-high,13,60,60,0.007452909514017777,0.30745290951401777,0.02,0.08,0.08,0.04,0.05,0.12,0.22,0.01,0.14,0.04,31
Ga,PSL-US-v0.x,13,45,50,0.2473049601582534,0.3973049601582534,0.26,0.29,0.29,0.19,0.36,0.59,0.88,0.19,0.63,0.31,31
Ga,SPMS,13,60,60,0.12046290596936002,0.42046290596936,0.28,0.15,0.16,0.35,0.17,0.3,0.58,0.07,0.35,0.12,31
Ga,DOJO-041-std,13,75,75,0.020248429341917777,0.4702484293419178,0.09,0.01,0.02,0.14,0.07,0.16,0.36,0.03,0.18,0.03,31
Ga,PSL-PAW-v0.x,13,45,80,0.4653647338825345,0.6153647338825345,0.43,0.41,0.42,0.47,0.53,0.95,1.09,0.26,1.07,0.54,31
Ga,DOJO-041-str,21,100,100,0.04554654018633667,0.7455465401863367,0.18,0.37,0.55,0.1,0.12,0.01,0.08,0.14,0.01,0.01,31
Ga,PSL-US-v1-high,13,60,60,0.6142488296152033,0.9142488296152034,0.15,0.32,0.36,0.02,0.72,1.88,3.07,0.18,1.9,0.83,31
Ga,SG15,13,120,120,0.07007339442748776,0.9700733944274877,0.15,0.02,0.03,0.21,0.14,0.3,0.6,0.03,0.33,0.11,31
Ga,GBRV-1.X,19,150,150,0.02800923016117444,1.2280092301611745,0.15,0.11,0.1,0.1,0.12,0.19,0.33,0.03,0.18,0.05,31
Ge,GBRV-1.X,14,35,35,0.017460563151282214,0.06746056315128221,0.12,0.14,0.21,0.13,0.08,0.03,0.05,0.14,0.04,0.12,32
Ge,SPMS,14,45,45,0.036357918658570014,0.18635791865857002,0.04,0.06,0.11,0.08,0.11,0.28,0.71,0.12,0.18,0.13,32
Ge,PSL-PAW-v0.x,14,45,50,0.09886162647143888,0.2488616264714389,0.03,0.04,0.03,0.02,0.09,0.56,0.85,0.08,0.42,0.21,32
Ge,PSL-US-v1-high,14,55,60,0.04612779391936,0.29612779391936,0.02,0.03,0.03,0.03,0.06,0.34,0.62,0.05,0.27,0.09,32
Ge,PSL-PAW-v1-high,14,55,60,0.04897144253423667,0.2989714425342367,0.02,0.03,0.03,0.02,0.05,0.36,0.59,0.04,0.28,0.11,32
Ge,JTH-1.1-std,14,40,45,0.29817374431046334,0.3981737443104634,0.53,0.56,0.5,0.28,0.25,0.58,0.18,0.3,0.64,0.41,32
Ge,PSL-US-v1-low,4,30,30,0.665987310226049,0.665987310226049,0.15,0.24,0.44,0.38,0.08,2.66,4.68,0.17,1.77,0.99,32
Ge,PSL-PAW-v1-low,4,30,30,0.6702061796804413,0.6702061796804413,0.17,0.24,0.44,0.42,0.09,2.66,4.65,0.17,1.76,0.99,32
Ge,DOJO-041-std,14,,,0.03785082713947888,,0.04,0.03,0.09,0.11,0.01,0.3,0.43,0.03,0.23,0.06,32
Ge,SG15,14,,,0.06148187450817,,0.29,0.23,0.16,0.26,0.02,0.1,0.51,0.11,0.04,0.03,32
Ge,DOJO-041-str,22,,,0.020221119086051106,,0.13,0.26,0.37,0.06,0.03,0.04,0.07,0.08,0.06,0.02,32
Ge,PSL-US-v0.x,14,,,0.0949925929692,,0.03,0.03,0.05,0.03,0.09,0.54,0.82,0.08,0.41,0.2,32
As,JTH-1.1-std,15,30,30,0.0,0.0,0.03,0.02,0.05,0.01,0.02,0.05,0.35,0.04,0.03,0.08,33
As,JTH-1.1-str,5,30,30,0.15744676607353225,0.15744676607353225,0.07,0.1,0.1,0.15,0.05,0.76,3.79,0.24,0.44,0.33,33
As,PSL-PAW-v1-low,5,30,30,0.2946974953108932,0.2946974953108932,0.09,0.15,0.13,0.16,0.25,1.12,4.85,0.38,0.73,0.54,33
As,PSL-US-v0.x,5,30,30,0.2987969111505699,0.2987969111505699,0.09,0.15,0.13,0.15,0.26,1.14,4.83,0.38,0.74,0.54,33
As,SPMS,15,55,55,0.05784543887362443,0.3078454388736244,0.16,0.16,0.18,0.13,0.08,0.25,0.44,0.14,0.2,0.11,33
As,PSL-PAW-v1-high,15,55,60,0.09976298160904112,0.3497629816090411,0.14,0.18,0.19,0.12,0.15,0.37,1.16,0.19,0.28,0.18,33
As,DOJO-041-str,23,100,100,0.009014592662142221,0.7090145926621423,0.06,0.11,0.17,0.11,0.02,0.04,0.15,0.05,0.04,0.01,33
As,DOJO-041-std,15,,,0.009147347373722223,,0.04,0.05,0.07,0.03,0.04,0.17,0.62,0.05,0.11,0.05,33
As,SG15,5,,,0.18971691839871552,,0.37,0.15,0.13,0.37,0.06,0.7,1.72,0.09,0.48,0.21,33
